text,topic
"I need guidance on my career path and job interviews.",Career
"My relationship is struggling and I need advice.",LoveLife
"Family conflicts are stressing me out.",Family Issues
"I have back pain and want to heal.",Health Issues
"I feel anxious and low these days.",Mood Issues
"How to negotiate a promotion at work?",Career
"I wish to strengthen my bond with my partner.",Love Life
"We argue a lot at home, what to do?",Family Issues
"Suggestions for better sleep and nutrition.",Health Issues
"I feel demotivated and sad.",Mood Issues
"Resume tips and improving LinkedIn profile.",Career
"Trust issues with my spouse.",Love Life
"Parenting advice for a stubborn child.",Family Issues
"Diet plan for weight loss.",Health Issues
"Mindfulness practices to reduce stress.",Mood Issues
